case,mean,std
TMH0011G,187.11,4.6
TMH0011I,184.638,6.287
TMH0011J,182.984,5.351
TMH0011K,185.528,5.918
TMH0011L,190.695,4.67
TMH0012C,-1.0,-1.0
TMH0012F,193.327,2.969
TMH0012I,186.983,5.475
TMH0014A,193.347,0.781
TMH0014F,170.796,3.721
TMH0014I,175.208,4.65
TMH0014L,-1.0,-1.0
TMH0014M,181.613,12.679
TMH0015G,180.238,4.845
TMH0015M,183.289,8.972
TMH0017H,188.044,3.714
TMH0017K,181.641,5.53
TMH0018A,189.174,5.777
TMH0018B,171.328,8.789
TMH0018C,186.515,7.024
TMH0018E,179.626,11.198
TMH0018F,182.774,9.206
TMH0018G,191.38,6.157
TMH0018J,180.52,11.574
TMH0018K,185.787,6.247
TMH0019A,180.908,3.668
TMH0019B,174.999,4.237
TMH0019C,181.124,2.339
TMH0019F,164.415,17.043
TMH0019G,173.915,8.864
TMH0019H,170.77,9.28
TMH0019I,175.381,5.664
TMH0019J,179.138,7.058
TMH0019K,174.44,6.349
TMH0020A,183.458,7.777
TMH0020B,182.408,9.772
TMH0020C,188.136,3.714
TMH0020D,183.861,8.596
TMH0020E,193.371,4.303
TMH0023C,179.254,9.314
TMH0023D,188.178,6.726
TMH0023E,187.517,8.246
TMH0023F,182.519,11.972
TMH0024D,181.323,10.573
TMH0024E,170.51,10.502
TMH0024K,179.822,10.852
TMH0025E,198.647,1.709
TMH0025F,195.073,3.66
TMH0026J,196.005,2.378
TMH0027I,180.604,6.257
TMH0027L,180.67,6.608
TMH0029L,186.211,5.088
TMH0034D,182.743,7.388
TMH0034G,179.493,6.062
TMH0034I,183.697,4.584
TMH0034J,168.669,8.15
TMH0035J,176.378,10.685
TMH0041A,186.933,10.454
TMH0041C,191.768,3.311
TMH0041D,178.319,13.025
TMH0041E,181.293,8.344
TMH0043B,172.368,18.949
TMH0043D,170.949,9.656
TMH0043F,172.852,9.853
TMH0045C,167.299,14.822
TMH0045E,172.542,7.137
TMH0045F,163.103,9.922
TMH0045H,169.148,11.244
TMH0045K,173.609,13.427
TMH0066C,184.48,5.345
